,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
62,john cunliffe,CHV,F,15,5,494,3,1,16,8,0,0/0,0,3,0.55,18.8,0,1,0,0.18,8,5,7,0,0,50.0,2007,reg,1,30000,45000
63,carey talley,RSL,D,26,25,2195,3,1,28,9,0,2/2,2,1,0.12,10.7,1,0,1,0.04,38,38,2,6,0,32.14,2007,reg,0,118248,118248
66,alan gordon,LA ,F,14,11,828,3,0,19,8,0,0/0,3,0,0.33,15.8,0,0,0,0.0,22,17,11,1,0,42.11,2007,reg,0,30870,30870
67,carlos pavon,LA ,F,18,10,978,3,0,29,10,0,0/0,0,3,0.28,10.3,0,0,0,0.0,6,21,24,0,0,34.48,2007,reg,0,132000,141500
68,collin samuel,TOR,F,18,18,1510,3,0,41,24,1,1/1,1,2,0.18,7.3,0,0,0,0.0,29,34,9,2,0,58.54,2007,reg,0,90000,115000
69,dave van den bergh,NY ,M,29,26,2228,2,8,36,19,0,0/0,1,1,0.08,5.6,1,3,5,0.32,23,14,3,1,0,52.78,2007,reg,1,180000,214583.33
70,sasha victorine,KC ,M,29,24,2135,2,7,37,13,0,0/0,1,1,0.08,5.4,2,4,3,0.3,27,37,5,1,0,35.14,2007,reg,1,137500,140000
71,dane richards,NY ,M,28,27,2335,2,6,24,14,0,0/0,0,2,0.08,8.3,3,6,0,0.23,50,35,12,5,0,58.33,2007,reg,1,30000,30000
72,khano smith,NE ,M,29,26,2210,2,6,36,12,1,0/0,2,0,0.08,5.6,3,4,2,0.24,42,41,5,4,0,33.33,2007,reg,1,44100,44100
73,carl robinson,TOR,M,26,26,2340,2,4,14,8,0,0/0,1,1,0.08,14.3,0,4,0,0.15,50,24,0,6,0,57.14,2007,reg,0,300000,315000
74,jesse marsch,CHV,M,28,28,2425,2,4,15,6,2,0/0,2,0,0.07,13.3,1,2,2,0.15,44,31,0,9,0,40.0,2007,reg,1,100000,109375
76,francisco mendoza,CHV,M,28,27,2459,2,4,36,16,0,0/0,1,1,0.07,5.6,0,2,2,0.15,31,46,10,3,0,44.44,2007,reg,1,90000,93750
77,chris klein,LA ,M,32,32,2880,2,4,40,16,1,0/0,2,0,0.06,5.0,1,4,0,0.13,23,20,8,1,0,40.0,2007,reg,0,180000,187250
78,conor casey,COL,F,17,11,1033,2,3,12,5,1,0/0,1,1,0.17,16.7,1,1,2,0.26,25,16,9,3,0,41.67,2007,reg,0,180000,180000
